project_id,year,revenue_vnd,opex_vnd,depreciation_vnd,taxable_income_vnd,tax_loss_opening_vnd,tax_loss_closing_vnd,tax_vnd,working_capital_vnd,delta_working_capital_vnd,capex_vnd,capex_net_vnd,vat_paid_vnd,construction_capex_vnd,idc_vnd,major_maintenance_vnd,terminal_value_vnd,terminal_release_vnd,terminal_branch,cfads_vnd,sources_vnd,uses_vnd,sources_uses_balance_vnd
VG-012,14,3726648685.2652144,557867859.3831998,1552608175.5050504,1616172650.3769643,0.0,0.0,323234530.0753929,306299891.93960667,1508716.3193205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2844037579.4873013,0.0,0.0,0.0
VG-012,15,3745095596.2572775,569025216.5708637,1552608175.5050504,1623462204.1813633,0.0,0.0,324692440.8362727,0.0,-306299891.93960667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306299891.93960667,ZERO_RESIDUAL_NO_SALE,3157677830.7897477,0.0,0.0,0.0
VG-013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23292390625.0,21263981534.090908,2028409090.909093,22312500000.0,979890625.0000001,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,0.0,23292390625.0,23292390625.0,0.0
VG-013,1,3173310210.0,393750000.0,1417598768.9393938,1361961441.0606062,0.0,0.0,272392288.21212125,260820017.26027396,260820017.26027396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2246347904.527605,0.0,0.0,0.0
VG-013,2,3189018095.5394998,401625000.0,1417598768.9393938,1369794326.600106,0.0,0.0,273958865.3200212,262111076.34571233,1291059.0854383707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2512143171.1340404,0.0,0.0,0.0
VG-013,3,3204803735.1124206,409657500.0,1417598768.9393938,1377547466.1730268,0.0,0.0,275509493.2346054,263408526.17362362,1297449.8279112875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2518339292.049904,0.0,0.0,0.0
VG-013,4,3220667513.6012278,417850650.00000006,1417598768.9393938,1385218094.661834,0.0,0.0,277043618.9323668,264712398.3781831,1303872.2045594752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2524469372.4643016,0.0,0.0,0.0
VG-013,5,3236609817.793553,426207663.0,1417598768.9393938,1392803385.854159,0.0,0.0,278560677.17083186,266022724.750155,1310326.3719719052,0.0,0.0,0.0,0.0,0.0,106319907.67045455,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2424211243.5802946,0.0,0.0,0.0
VG-013,6,3252631036.391631,434731816.26,1417598768.9393938,1400300451.1922371,0.0,0.0,280060090.2384474,267339537.2376683,1316812.4875133038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2536522317.40567,0.0,0.0,0.0
VG-013,7,3268731560.02177,443426452.5852,1417598768.9393938,1407706338.4971764,0.0,0.0,281541267.6994353,268662867.94699484,1323330.7093265355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2542440509.027808,0.0,0.0,0.0
VG-013,8,3284911781.2438774,452294981.636904,1417598768.9393938,1415018030.66758,0.0,0.0,283003606.133516,269992749.14333236,1329881.196337521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2548283312.27712,0.0,0.0,0.0
VG-013,9,3301172094.5610347,461340881.2696421,1417598768.9393938,1422232444.3519986,0.0,0.0,284446488.8703997,271329213.25159186,1336464.108259499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2554048260.312733,0.0,0.0,0.0
VG-013,10,3317512896.4291115,470567698.89503497,1417598768.9393938,1429346428.594683,0.0,0.0,285869285.7189366,272672292.8571873,1343079.6055954099,0.0,0.0,0.0,0.0,0.0,106319907.67045455,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2453412924.53909,0.0,0.0,0.0
