project_id,year,cfads_vnd,debt_service_vnd,dsra_opening_vnd,dsra_funding_vnd,cash_trap_vnd,distribution_vnd,dsra_release_vnd,dsra_closing_vnd,terminal_value_vnd,terminal_branch,waterfall_status
VG-011,8,3029713709.204763,2330549007.080587,1026560432.109078,0.0,0.0,699164702.124176,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,9,3036883301.368002,2336064077.975386,1026560432.109078,0.0,0.0,700819223.3926158,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,10,2922455445.524412,1004451064.2273594,1026560432.109078,0.0,0.0,1918004381.2970529,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,11,3050952609.5083036,0.0,1026560432.109078,0.0,0.0,3050952609.5083036,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,12,3057846401.407838,0.0,1026560432.109078,0.0,0.0,3057846401.407838,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,13,3064642227.3419247,0.0,1026560432.109078,0.0,0.0,3064642227.3419247,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,14,3071336960.5743275,0.0,1026560432.109078,0.0,0.0,3071336960.5743275,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,15,3409833436.2656655,0.0,1026560432.109078,0.0,0.0,3409833436.2656655,1026560432.109078,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-012,1,2474223030.169503,1903248484.7457716,0.0,951624242.3728858,0.0,570974545.4237316,0.0,951624242.3728858,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-012,2,2766996987.0065985,2128459220.7743065,951624242.3728858,0.0,0.0,638537766.2322919,0.0,951624242.3728858,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
